Reference Point Name,Volttron Point Name,Units,Unit Details,BACnet Object Type,Property,Writable,Index,Write Priority,Notes
UI24 Lua,UI24 Lua,noUnits,(default 0.0),analogValue,presentValue,FALSE,206,,
Standby Screen Delay,Standby Screen Delay,seconds,(default 150.0),analogValue,presentValue,FALSE,270,,
Ambient High Temperature Threshold,Ambient High Temperature Threshold,degreesFahrenheit,(default 86.0),analogValue,presentValue,FALSE,275,,
Refrigeration High Temperature Threshold,Refrigeration High Temperature Threshold,degreesFahrenheit,(default 40.0),analogValue,presentValue,FALSE,276,,
Refrigeration Low Temperature Threshold,Refrigeration Low Temperature Threshold,degreesFahrenheit,(default 32.0),analogValue,presentValue,FALSE,277,,
Freezer High Temperature Threshold,Freezer High Temperature Threshold,degreesFahrenheit,(default 0.0),analogValue,presentValue,FALSE,278,,
Room Temperature,Room Temperature,degreesFahrenheit,(default 73.70000457763672),analogValue,presentValue,FALSE,100,,
Outdoor Temperature,Outdoor Temperature,degreesFahrenheit,(default 55.0),analogValue,presentValue,FALSE,101,,
UI22 Supply Temperature,UI22 Supply Temperature,degreesFahrenheit,(default 65.5999984741211),analogValue,presentValue,FALSE,102,,
Room Humidity,Room Humidity,percentRelativeHumidity,(default 24.0),analogValue,presentValue,FALSE,103,,
UI20 Remote Temperature,UI20 Remote Temperature,degreesFahrenheit,(default 73.70000457763672),analogValue,presentValue,FALSE,105,,
CO2 Level,CO2 Level,partsPerMillion,(default 0.0),analogValue,presentValue,FALSE,106,,
Airflow Level,Airflow Level,cubicFeetPerMinute,(default 0.0),analogValue,presentValue,FALSE,107,,
UI16 Analog Input,UI16 Analog Input,volts,(default 0.0),analogValue,presentValue,FALSE,111,,
UI17 Analog Input,UI17 Analog Input,volts,(default 0.0),analogValue,presentValue,FALSE,112,,
UI19 Analog Input,UI19 Analog Input,volts,(default 0.0),analogValue,presentValue,FALSE,108,,
UI20 Analog Input,UI20 Analog Input,volts,(default 0.0),analogValue,presentValue,FALSE,113,,
UI22 Analog Input,UI22 Analog Input,volts,(default 0.0),analogValue,presentValue,FALSE,114,,
UI23 Analog Input,UI23 Analog Input,volts,(default 0.0),analogValue,presentValue,FALSE,115,,
UI24 Analog Input,UI24 Analog Input,volts,(default 2.0970001220703125),analogValue,presentValue,FALSE,116,,
UI16 Temperature,UI16 Temperature,degreesFahrenheit,(default -40.0),analogValue,presentValue,FALSE,117,,
UI17 Temperature,UI17 Temperature,degreesFahrenheit,(default -40.0),analogValue,presentValue,FALSE,118,,
UI19 Temperature,UI19 Temperature,degreesFahrenheit,(default -40.0),analogValue,presentValue,FALSE,104,,
UI20 Temperature,UI20 Temperature,degreesFahrenheit,(default 73.70000457763672),analogValue,presentValue,FALSE,120,,
UI22 Temperature,UI22 Temperature,degreesFahrenheit,(default 65.5999984741211),analogValue,presentValue,FALSE,121,,
UI23 Temperature,UI23 Temperature,degreesFahrenheit,(default 55.0),analogValue,presentValue,FALSE,122,,
UI24 Temperature,UI24 Temperature,degreesFahrenheit,(default -40.0),analogValue,presentValue,FALSE,109,,
Mixed Air Temperature,Mixed Air Temperature,degreesFahrenheit,(default -40.0),analogValue,presentValue,FALSE,125,,
Effective Occupancy,Effective Occupancy,State,State count: 4,multiStateInput,presentValue,FALSE,33,,"1=Unoccupied, 2=Override, 3=Standby"
ZigBee Network Status,ZigBee Network Status,State,State count: 5,multiStateInput,presentValue,FALSE,2,,"1=Pwr on, 2=No NWK, 3=Joined, 4=Online"
Wireless Device 1 - Sensor Type,Wireless Device 1 - Sensor Type,State,State count: 8,multiStateInput,presentValue,FALSE,180,,"1=Unknown, 2=Motion, 3=Contact, 4=Water, 5=Temp., 6=Temp./RH, 7=CO2"
Wireless Device 2 - Sensor Type,Wireless Device 2 - Sensor Type,State,State count: 8,multiStateInput,presentValue,FALSE,181,,"1=Unknown, 2=Motion, 3=Contact, 4=Water, 5=Temp., 6=Temp./RH, 7=CO2"
Wireless Device 3 - Sensor Type,Wireless Device 3 - Sensor Type,State,State count: 8,multiStateInput,presentValue,FALSE,182,,"1=Unknown, 2=Motion, 3=Contact, 4=Water, 5=Temp., 6=Temp./RH, 7=CO2"
Wireless Device 4 - Sensor Type,Wireless Device 4 - Sensor Type,State,State count: 8,multiStateInput,presentValue,FALSE,183,,"1=Unknown, 2=Motion, 3=Contact, 4=Water, 5=Temp., 6=Temp./RH, 7=CO2"
Wireless Device 5 - Sensor Type,Wireless Device 5 - Sensor Type,State,State count: 8,multiStateInput,presentValue,FALSE,184,,"1=Unknown, 2=Motion, 3=Contact, 4=Water, 5=Temp., 6=Temp./RH, 7=CO2"
Wireless Device 6 - Sensor Type,Wireless Device 6 - Sensor Type,State,State count: 8,multiStateInput,presentValue,FALSE,185,,"1=Unknown, 2=Motion, 3=Contact, 4=Water, 5=Temp., 6=Temp./RH, 7=CO2"
Wireless Device 7 - Sensor Type,Wireless Device 7 - Sensor Type,State,State count: 8,multiStateInput,presentValue,FALSE,186,,"1=Unknown, 2=Motion, 3=Contact, 4=Water, 5=Temp., 6=Temp./RH, 7=CO2"
Wireless Device 8 - Sensor Type,Wireless Device 8 - Sensor Type,State,State count: 8,multiStateInput,presentValue,FALSE,187,,"1=Unknown, 2=Motion, 3=Contact, 4=Water, 5=Temp., 6=Temp./RH, 7=CO2"
Wireless Device 9 - Sensor Type,Wireless Device 9 - Sensor Type,State,State count: 8,multiStateInput,presentValue,FALSE,188,,"1=Unknown, 2=Motion, 3=Contact, 4=Water, 5=Temp., 6=Temp./RH, 7=CO2"
Wireless Device 10 - Sensor Type,Wireless Device 10 - Sensor Type,State,State count: 8,multiStateInput,presentValue,FALSE,189,,"1=Unknown, 2=Motion, 3=Contact, 4=Water, 5=Temp., 6=Temp./RH, 7=CO2"
Wireless Device 11 - Sensor Type,Wireless Device 11 - Sensor Type,State,State count: 8,multiStateInput,presentValue,FALSE,190,,"1=Unknown, 2=Motion, 3=Contact, 4=Water, 5=Temp., 6=Temp./RH, 7=CO2"
Wireless Device 12 - Sensor Type,Wireless Device 12 - Sensor Type,State,State count: 8,multiStateInput,presentValue,FALSE,191,,"1=Unknown, 2=Motion, 3=Contact, 4=Water, 5=Temp., 6=Temp./RH, 7=CO2"
Wireless Device 13 - Sensor Type,Wireless Device 13 - Sensor Type,State,State count: 8,multiStateInput,presentValue,FALSE,192,,"1=Unknown, 2=Motion, 3=Contact, 4=Water, 5=Temp., 6=Temp./RH, 7=CO2"
Wireless Device 14 - Sensor Type,Wireless Device 14 - Sensor Type,State,State count: 8,multiStateInput,presentValue,FALSE,193,,"1=Unknown, 2=Motion, 3=Contact, 4=Water, 5=Temp., 6=Temp./RH, 7=CO2"
Wireless Device 15 - Sensor Type,Wireless Device 15 - Sensor Type,State,State count: 8,multiStateInput,presentValue,FALSE,194,,"1=Unknown, 2=Motion, 3=Contact, 4=Water, 5=Temp., 6=Temp./RH, 7=CO2"
Wireless Device 16 - Sensor Type,Wireless Device 16 - Sensor Type,State,State count: 8,multiStateInput,presentValue,FALSE,195,,"1=Unknown, 2=Motion, 3=Contact, 4=Water, 5=Temp., 6=Temp./RH, 7=CO2"
Wireless Device 17 - Sensor Type,Wireless Device 17 - Sensor Type,State,State count: 8,multiStateInput,presentValue,FALSE,196,,"1=Unknown, 2=Motion, 3=Contact, 4=Water, 5=Temp., 6=Temp./RH, 7=CO2"
Wireless Device 18 - Sensor Type,Wireless Device 18 - Sensor Type,State,State count: 8,multiStateInput,presentValue,FALSE,197,,"1=Unknown, 2=Motion, 3=Contact, 4=Water, 5=Temp., 6=Temp./RH, 7=CO2"
Wireless Device 19 - Sensor Type,Wireless Device 19 - Sensor Type,State,State count: 8,multiStateInput,presentValue,FALSE,198,,"1=Unknown, 2=Motion, 3=Contact, 4=Water, 5=Temp., 6=Temp./RH, 7=CO2"
Wireless Device 20 - Sensor Type,Wireless Device 20 - Sensor Type,State,State count: 8,multiStateInput,presentValue,FALSE,199,,"1=Unknown, 2=Motion, 3=Contact, 4=Water, 5=Temp., 6=Temp./RH, 7=CO2"
Wireless Device 1 - Status,Wireless Device 1 - Status,State,State count: 7,multiStateInput,presentValue,FALSE,210,,"1=Closed, 2=Opened, 3=No motion, 4=Motion, 5=Normal, 6=Leak"
Wireless Device 2 - Status,Wireless Device 2 - Status,State,State count: 7,multiStateInput,presentValue,FALSE,220,,"1=Closed, 2=Opened, 3=No motion, 4=Motion, 5=Normal, 6=Leak"
Wireless Device 3 - Status,Wireless Device 3 - Status,State,State count: 7,multiStateInput,presentValue,FALSE,230,,"1=Closed, 2=Opened, 3=No motion, 4=Motion, 5=Normal, 6=Leak"
Wireless Device 4 - Status,Wireless Device 4 - Status,State,State count: 7,multiStateInput,presentValue,FALSE,240,,"1=Closed, 2=Opened, 3=No motion, 4=Motion, 5=Normal, 6=Leak"
Wireless Device 5 - Status,Wireless Device 5 - Status,State,State count: 7,multiStateInput,presentValue,FALSE,250,,"1=Closed, 2=Opened, 3=No motion, 4=Motion, 5=Normal, 6=Leak"
Wireless Device 6 - Status,Wireless Device 6 - Status,State,State count: 7,multiStateInput,presentValue,FALSE,260,,"1=Closed, 2=Opened, 3=No motion, 4=Motion, 5=Normal, 6=Leak"
Wireless Device 7 - Status,Wireless Device 7 - Status,State,State count: 7,multiStateInput,presentValue,FALSE,270,,"1=Closed, 2=Opened, 3=No motion, 4=Motion, 5=Normal, 6=Leak"
Wireless Device 8 - Status,Wireless Device 8 - Status,State,State count: 7,multiStateInput,presentValue,FALSE,280,,"1=Closed, 2=Opened, 3=No motion, 4=Motion, 5=Normal, 6=Leak"
Wireless Device 9 - Status,Wireless Device 9 - Status,State,State count: 7,multiStateInput,presentValue,FALSE,290,,"1=Closed, 2=Opened, 3=No motion, 4=Motion, 5=Normal, 6=Leak"
Wireless Device 10 - Status,Wireless Device 10 - Status,State,State count: 7,multiStateInput,presentValue,FALSE,300,,"1=Closed, 2=Opened, 3=No motion, 4=Motion, 5=Normal, 6=Leak"
Wireless Device 11 - Status,Wireless Device 11 - Status,State,State count: 7,multiStateInput,presentValue,FALSE,310,,"1=Closed, 2=Opened, 3=No motion, 4=Motion, 5=Normal, 6=Leak"
Wireless Device 12 - Status,Wireless Device 12 - Status,State,State count: 7,multiStateInput,presentValue,FALSE,320,,"1=Closed, 2=Opened, 3=No motion, 4=Motion, 5=Normal, 6=Leak"
Wireless Device 13 - Status,Wireless Device 13 - Status,State,State count: 7,multiStateInput,presentValue,FALSE,330,,"1=Closed, 2=Opened, 3=No motion, 4=Motion, 5=Normal, 6=Leak"
Wireless Device 14 - Status,Wireless Device 14 - Status,State,State count: 7,multiStateInput,presentValue,FALSE,340,,"1=Closed, 2=Opened, 3=No motion, 4=Motion, 5=Normal, 6=Leak"
Wireless Device 15 - Status,Wireless Device 15 - Status,State,State count: 7,multiStateInput,presentValue,FALSE,350,,"1=Closed, 2=Opened, 3=No motion, 4=Motion, 5=Normal, 6=Leak"
Wireless Device 16 - Status,Wireless Device 16 - Status,State,State count: 7,multiStateInput,presentValue,FALSE,360,,"1=Closed, 2=Opened, 3=No motion, 4=Motion, 5=Normal, 6=Leak"
Wireless Device 17 - Status,Wireless Device 17 - Status,State,State count: 7,multiStateInput,presentValue,FALSE,370,,"1=Closed, 2=Opened, 3=No motion, 4=Motion, 5=Normal, 6=Leak"
Wireless Device 18 - Status,Wireless Device 18 - Status,State,State count: 7,multiStateInput,presentValue,FALSE,380,,"1=Closed, 2=Opened, 3=No motion, 4=Motion, 5=Normal, 6=Leak"
Wireless Device 19 - Status,Wireless Device 19 - Status,State,State count: 7,multiStateInput,presentValue,FALSE,390,,"1=Closed, 2=Opened, 3=No motion, 4=Motion, 5=Normal, 6=Leak"
Wireless Device 20 - Status,Wireless Device 20 - Status,State,State count: 7,multiStateInput,presentValue,FALSE,400,,"1=Closed, 2=Opened, 3=No motion, 4=Motion, 5=Normal, 6=Leak"
Wireless Device 1 - Battery,Wireless Device 1 - Battery,State,State count: 3,multiStateInput,presentValue,FALSE,211,,"1=Normal, 2=Low"
Wireless Device 2 - Battery,Wireless Device 2 - Battery,State,State count: 3,multiStateInput,presentValue,FALSE,221,,"1=Normal, 2=Low"
Wireless Device 3 - Battery,Wireless Device 3 - Battery,State,State count: 3,multiStateInput,presentValue,FALSE,231,,"1=Normal, 2=Low"
Wireless Device 4 - Battery,Wireless Device 4 - Battery,State,State count: 3,multiStateInput,presentValue,FALSE,241,,"1=Normal, 2=Low"
Wireless Device 5 - Battery,Wireless Device 5 - Battery,State,State count: 3,multiStateInput,presentValue,FALSE,251,,"1=Normal, 2=Low"
Wireless Device 6 - Battery,Wireless Device 6 - Battery,State,State count: 3,multiStateInput,presentValue,FALSE,261,,"1=Normal, 2=Low"
Wireless Device 7 - Battery,Wireless Device 7 - Battery,State,State count: 3,multiStateInput,presentValue,FALSE,271,,"1=Normal, 2=Low"
Wireless Device 8 - Battery,Wireless Device 8 - Battery,State,State count: 3,multiStateInput,presentValue,FALSE,281,,"1=Normal, 2=Low"
Wireless Device 9 - Battery,Wireless Device 9 - Battery,State,State count: 3,multiStateInput,presentValue,FALSE,291,,"1=Normal, 2=Low"
Wireless Device 10 - Battery,Wireless Device 10 - Battery,State,State count: 3,multiStateInput,presentValue,FALSE,301,,"1=Normal, 2=Low"
Wireless Device 11 - Battery,Wireless Device 11 - Battery,State,State count: 3,multiStateInput,presentValue,FALSE,311,,"1=Normal, 2=Low"
Wireless Device 12 - Battery,Wireless Device 12 - Battery,State,State count: 3,multiStateInput,presentValue,FALSE,321,,"1=Normal, 2=Low"
Wireless Device 13 - Battery,Wireless Device 13 - Battery,State,State count: 3,multiStateInput,presentValue,FALSE,331,,"1=Normal, 2=Low"
Wireless Device 14 - Battery,Wireless Device 14 - Battery,State,State count: 3,multiStateInput,presentValue,FALSE,341,,"1=Normal, 2=Low"
Wireless Device 15 - Battery,Wireless Device 15 - Battery,State,State count: 3,multiStateInput,presentValue,FALSE,351,,"1=Normal, 2=Low"
Wireless Device 16 - Battery,Wireless Device 16 - Battery,State,State count: 3,multiStateInput,presentValue,FALSE,361,,"1=Normal, 2=Low"
Wireless Device 17 - Battery,Wireless Device 17 - Battery,State,State count: 3,multiStateInput,presentValue,FALSE,371,,"1=Normal, 2=Low"
Wireless Device 18 - Battery,Wireless Device 18 - Battery,State,State count: 3,multiStateInput,presentValue,FALSE,381,,"1=Normal, 2=Low"
Wireless Device 19 - Battery,Wireless Device 19 - Battery,State,State count: 3,multiStateInput,presentValue,FALSE,391,,"1=Normal, 2=Low"
Wireless Device 20 - Battery,Wireless Device 20 - Battery,State,State count: 3,multiStateInput,presentValue,FALSE,401,,"1=Normal, 2=Low"
Wireless Device 1 - Communication Status,Wireless Device 1 - Communication Status,State,State count: 4,multiStateInput,presentValue,FALSE,212,,"1=Online, 2=Invalid, 3=Offline"
